                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.75164,                0.39009,                 0.8257,                0.95069,                0.72886,                0.82807,                0.64797,                0.55056,                0.35388,                0.80396,               0.008845,               0.008845,               0.008845
                     37,                0.75643,                0.39449,                0.83031,                0.92846,                0.77553,                0.86415,                0.68764,                0.54039,                0.35128,                0.80035,               0.008812,               0.008812,               0.008812
                     38,                0.77662,                 0.3918,                 0.8317,                0.97456,                   0.75,                0.83274,                0.65351,                0.53517,                0.36558,                0.80107,               0.008779,               0.008779,               0.008779
                     39,                0.76364,                0.39165,                 0.8227,                0.93863,                0.76585,                0.85662,                0.67614,                 0.5647,                0.34555,                0.80312,               0.008746,               0.008746,               0.008746
                     40,                0.76991,                0.39822,                0.83692,                0.95725,                0.76462,                0.87367,                0.68878,                0.52512,                0.36478,                0.80176,               0.008713,               0.008713,               0.008713
                     41,                0.73656,                0.38238,                0.82767,                0.95324,                0.76951,                0.85593,                0.66754,                0.55891,                0.36483,                0.79986,                0.00868,                0.00868,                0.00868
                     42,                0.75817,                0.38371,                0.82493,                0.94695,                0.76188,                0.85767,                0.68593,                0.51627,                 0.3583,                0.80336,               0.008647,               0.008647,               0.008647
                     43,                0.73616,                0.38233,                0.83413,                0.96982,                0.75976,                0.86041,                0.67915,                0.51464,                0.38742,                0.79895,               0.008614,               0.008614,               0.008614
                     44,                0.72233,                0.38064,                0.82266,                0.92997,                0.77731,                0.83281,                0.64618,                0.53041,                0.37983,                0.79822,               0.008581,               0.008581,               0.008581
                     45,                0.72392,                0.38838,                0.82598,                0.94182,                0.76991,                0.86692,                0.69223,                 0.5286,                0.33129,                0.80429,               0.008548,               0.008548,               0.008548
                     46,                0.75379,                0.38938,                0.82313,                0.96808,                0.75976,                  0.865,                  0.682,                0.52109,                 0.3484,                 0.8033,               0.008515,               0.008515,               0.008515
                     47,                0.74067,                0.38193,                0.82418,                0.95038,                0.77077,                0.86432,                0.70329,                0.51333,                0.34178,                0.79884,               0.008482,               0.008482,               0.008482
                     48,                0.72853,                0.37155,                0.82661,                 0.9334,                0.76707,                0.86491,                0.69964,                 0.5122,                0.36007,                0.80103,               0.008449,               0.008449,               0.008449
                     49,                0.72294,                0.37557,                0.81912,                0.95596,                 0.7676,                0.87778,                0.71113,                0.51693,                0.33559,                0.80134,               0.008416,               0.008416,               0.008416
