                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.81709,                0.43382,                0.83412,                0.92891,                0.69148,                0.76151,                0.57957,                0.72856,                0.47943,                0.81474,               0.008845,               0.008845,               0.008845
                     37,                0.79496,                 0.4233,                0.83974,                0.91979,                0.67827,                0.75904,                0.57162,                0.70868,                0.48857,                0.82634,               0.008812,               0.008812,               0.008812
                     38,                0.78973,                0.41705,                0.83339,                0.93847,                0.68908,                0.80219,                0.61328,                0.78658,                 0.4433,                0.84748,               0.008779,               0.008779,               0.008779
                     39,                0.80377,                0.42197,                0.83399,                0.94863,                0.68788,                0.80051,                0.60626,                0.86875,                0.43135,                 0.8416,               0.008746,               0.008746,               0.008746
                     40,                0.79025,                0.41803,                0.83148,                0.93061,                0.70348,                0.79582,                0.61083,                0.72049,                0.47646,                0.83186,               0.008713,               0.008713,               0.008713
                     41,                0.80335,                0.41916,                0.83037,                0.95192,                0.68547,                0.76983,                0.59056,                0.68115,                0.44181,                 0.8275,                0.00868,                0.00868,                0.00868
                     42,                0.77896,                0.40476,                0.83055,                0.95335,                0.69268,                0.80529,                 0.6189,                 0.7417,                 0.4129,                0.83219,               0.008647,               0.008647,               0.008647
                     43,                 0.7822,                0.41045,                0.84891,                0.93384,                0.69028,                0.78038,                0.59765,                0.65854,                0.50782,                 0.8252,               0.008614,               0.008614,               0.008614
                     44,                0.78517,                0.40944,                0.83394,                0.95079,                0.69591,                0.79506,                0.60645,                0.70627,                0.46083,                0.82116,               0.008581,               0.008581,               0.008581
                     45,                0.75697,                0.39927,                0.82891,                0.93627,                0.68547,                0.77997,                0.59611,                 0.7699,                0.44495,                 0.8517,               0.008548,               0.008548,               0.008548
                     46,                0.76993,                   0.41,                0.83324,                0.93417,                0.69268,                 0.8183,                0.64652,                0.73887,                0.40598,                 0.8259,               0.008515,               0.008515,               0.008515
                     47,                0.76584,                0.40614,                0.83883,                0.94652,                0.69988,                0.81301,                0.62733,                0.68188,                0.38452,                0.82264,               0.008482,               0.008482,               0.008482
                     48,                0.75736,                0.39742,                0.83246,                 0.9369,                 0.6952,                0.77759,                0.60268,                0.64878,                0.41324,                0.81626,               0.008449,               0.008449,               0.008449
                     49,                 0.7779,                0.39836,                 0.8307,                0.94956,                0.70054,                0.80776,                0.62881,                0.70209,                0.40673,                0.82847,               0.008416,               0.008416,               0.008416
                     50,                0.73233,                0.38994,                0.82468,                  0.943,                0.69988,                0.77596,                0.59063,                0.63969,                0.44278,                0.81304,               0.008383,               0.008383,               0.008383
                     51,                 0.7863,                0.40628,                 0.8349,                0.95153,                0.69508,                0.78121,                0.59407,                 0.6797,                0.36846,                0.81866,                   0.01,                   0.01,                   0.01
                     52,                 0.7715,                0.40497,                0.83316,                0.94246,                0.68818,                 0.8151,                0.62468,                0.66524,                0.39246,                0.81588,               0.009967,               0.009967,               0.009967
                     53,                0.78552,                0.41368,                0.83781,                0.94383,                0.69628,                0.78073,                0.59264,                0.68588,                 0.4328,                0.82072,               0.009934,               0.009934,               0.009934
                     54,                0.77619,                0.40595,                0.83658,                0.93355,                0.68187,                0.77259,                0.59376,                0.71074,                0.44376,                0.83081,               0.009901,               0.009901,               0.009901
                     55,                0.77424,                0.41229,                 0.8294,                0.94382,                0.68576,                0.79643,                0.59795,                0.68323,                0.41875,                0.82691,               0.009868,               0.009868,               0.009868
                     56,                0.75999,                0.40122,                0.83038,                0.93762,                0.69988,                0.79136,                0.60008,                0.66994,                 0.3842,                0.82135,               0.009835,               0.009835,               0.009835
                     57,                0.78832,                0.41148,                 0.8337,                0.91499,                0.70588,                0.78255,                0.59237,                0.69117,                0.39757,                0.82353,               0.009802,               0.009802,               0.009802
                     58,                0.77516,                0.40419,                 0.8357,                0.93002,                0.69388,                0.78964,                0.60439,                0.71592,                0.51262,                 0.8319,               0.009769,               0.009769,               0.009769
                     59,                0.75453,                 0.4001,                0.82977,                0.95116,                0.69508,                0.80363,                0.62618,                 0.6751,                0.39424,                0.82261,               0.009736,               0.009736,               0.009736
                     60,                0.77772,                 0.4022,                0.82274,                0.96586,                0.68307,                0.81109,                0.63242,                0.73178,                0.38766,                0.82614,               0.009703,               0.009703,               0.009703
                     61,                0.76292,                  0.405,                0.82731,                0.92316,                0.68067,                0.76685,                0.58602,                0.70661,                0.42912,                0.82103,                0.00967,                0.00967,                0.00967
                     62,                0.76796,                 0.4004,                0.82808,                0.93373,                0.71035,                0.81547,                0.63594,                0.68297,                0.40592,                 0.8214,               0.009637,               0.009637,               0.009637
                     63,                0.74468,                0.39104,                0.82732,                0.93524,                 0.6935,                0.77498,                0.61187,                0.65948,                0.38271,                 0.8198,               0.009604,               0.009604,               0.009604
                     64,                0.77254,                0.39969,                0.83342,                0.94276,                0.69198,                0.76855,                0.59616,                0.65218,                0.42431,                0.82049,               0.009571,               0.009571,               0.009571
                     65,                0.75104,                0.39849,                0.82582,                0.95381,                0.69408,                0.79067,                0.61528,                0.63282,                0.36889,                0.81349,               0.009538,               0.009538,               0.009538
                     66,                 0.7556,                0.40119,                0.83331,                0.96422,                0.69148,                0.81735,                0.63872,                0.63858,                0.38242,                0.81709,               0.009505,               0.009505,               0.009505
                     67,                0.73922,                0.38713,                0.82726,                 0.9551,                0.69748,                0.77603,                0.59469,                0.66667,                0.37684,                0.81688,               0.009472,               0.009472,               0.009472
                     68,                0.72585,                0.37886,                0.82193,                0.94931,                0.67451,                0.78699,                0.62284,                0.63128,                0.46434,                0.81125,               0.009439,               0.009439,               0.009439
                     69,                   0.75,                0.39645,                 0.8304,                0.96979,                0.69376,                0.81334,                0.63705,                0.65281,                0.36991,                0.81756,               0.009406,               0.009406,               0.009406
                     70,                0.73785,                0.38324,                0.81696,                 0.9419,                0.70058,                0.81606,                0.64274,                0.62122,                0.38108,                0.81649,               0.009373,               0.009373,               0.009373
                     71,                0.71291,                0.37978,                 0.8226,                0.93861,                0.69988,                0.80173,                0.62408,                0.65351,                0.38104,                0.82288,                0.00934,                0.00934,                0.00934
                     72,                0.74656,                0.39268,                0.82349,                0.96755,                0.70948,                0.82352,                0.64377,                0.64109,                0.38476,                0.82057,               0.009307,               0.009307,               0.009307
                     73,                0.72724,                 0.3745,                0.83193,                0.94712,                0.70228,                 0.8082,                0.63308,                0.60488,                0.38008,                0.81349,               0.009274,               0.009274,               0.009274
                     74,                0.71222,                0.37729,                0.82307,                0.93899,                 0.7021,                 0.7885,                0.62121,                0.65268,                0.39904,                0.81234,               0.009241,               0.009241,               0.009241
                     75,                0.72294,                0.38254,                 0.8254,                0.94506,                0.69868,                0.79481,                0.62381,                0.66048,                  0.443,                0.81835,               0.009208,               0.009208,               0.009208
                     76,                0.74194,                 0.3859,                0.82966,                0.95276,                0.70218,                0.82927,                0.67352,                0.65248,                0.37252,                0.82911,               0.009175,               0.009175,               0.009175
                     77,                0.72523,                0.38195,                0.83041,                   0.94,                0.69988,                0.77655,                 0.6129,                0.61386,                0.47234,                0.81667,               0.009142,               0.009142,               0.009142
                     78,                0.71086,                0.37395,                0.81906,                0.95391,                0.71188,                0.82815,                0.65727,                0.62071,                0.35428,                0.81014,               0.009109,               0.009109,               0.009109
                     79,                0.70946,                0.37389,                0.82295,                0.95557,                0.69868,                0.81736,                0.64991,                0.67118,                0.39217,                0.81982,               0.009076,               0.009076,               0.009076
                     80,                0.71623,                0.37153,                0.82622,                0.95197,                0.69007,                0.80139,                0.63512,                 0.6414,                 0.4399,                0.81344,               0.009043,               0.009043,               0.009043
                     81,                0.71572,                0.37228,                0.82287,                0.94767,                0.70108,                0.81727,                0.65977,                0.63901,                0.37346,                0.81166,                0.00901,                0.00901,                0.00901
                     82,                0.69482,                0.36458,                0.82285,                0.95788,                0.71188,                0.82899,                0.65345,                0.63479,                0.36871,                0.81642,               0.008977,               0.008977,               0.008977
                     83,                 0.7132,                0.37161,                0.82819,                0.94438,                0.69868,                0.81078,                0.64362,                0.61865,                0.37563,                0.81287,               0.008944,               0.008944,               0.008944
                     84,                0.71911,                0.37988,                0.82837,                0.94506,                0.70108,                0.77499,                0.60996,                 0.6319,                0.36498,                  0.812,               0.008911,               0.008911,               0.008911
                     85,                0.71006,                0.37213,                0.82311,                 0.9515,                0.70662,                0.80834,                 0.6459,                0.61688,                0.35718,                0.81048,               0.008878,               0.008878,               0.008878
                     86,                0.71732,                0.37507,                0.82064,                0.96642,                0.69988,                0.80934,                0.64134,                0.63145,                0.35763,                0.81001,               0.008845,               0.008845,               0.008845
                     87,                 0.6957,                0.36442,                0.82286,                0.94273,                0.69169,                0.81139,                0.64172,                0.62701,                0.37399,                0.81698,               0.008812,               0.008812,               0.008812
                     88,                0.67805,                0.36216,                0.81831,                0.97008,                0.70071,                 0.8296,                0.66662,                0.62744,                0.36438,                0.81526,               0.008779,               0.008779,               0.008779
                     89,                0.69806,                0.36676,                0.81546,                0.97304,                0.69337,                0.82359,                0.65388,                0.61553,                0.35634,                0.81168,               0.008746,               0.008746,               0.008746
                     90,                0.69609,                0.35988,                0.81764,                0.96414,                0.71007,                0.83258,                0.66465,                0.64621,                0.37292,                0.81349,               0.008713,               0.008713,               0.008713
                     91,                 0.7024,                0.36357,                0.81104,                0.97083,                0.70108,                0.82872,                0.66491,                0.62793,                0.35023,                0.81365,                0.00868,                0.00868,                0.00868
                     92,                0.67814,                0.35351,                0.81594,                0.96064,                0.70316,                0.82459,                0.65868,                0.59717,                0.34028,                0.81173,               0.008647,               0.008647,               0.008647
                     93,                0.68785,                0.36127,                0.83375,                0.94956,                0.68427,                0.77769,                0.62164,                 0.5952,                0.38484,                0.81198,               0.008614,               0.008614,               0.008614
                     94,                0.69438,                0.35778,                 0.8193,                0.92639,                0.69748,                0.81506,                0.65087,                0.59725,                0.40353,                0.81331,               0.008581,               0.008581,               0.008581
                     95,                0.66363,                 0.3512,                0.81494,                 0.9601,                0.68908,                0.79751,                0.64741,                0.58266,                0.36552,                0.81427,               0.008548,               0.008548,               0.008548
                     96,                0.67833,                0.35509,                0.81862,                0.97136,                0.69227,                0.81837,                0.66653,                0.59051,                0.36766,                0.81414,               0.008515,               0.008515,               0.008515
                     97,                0.66556,                0.34921,                0.81919,                0.96663,                0.68667,                  0.803,                  0.641,                0.61521,                0.35892,                0.81847,               0.008482,               0.008482,               0.008482
                     98,                0.67967,                0.35483,                 0.8206,                0.96728,                0.70973,                0.80717,                0.64339,                0.59691,                0.36394,                0.81309,               0.008449,               0.008449,               0.008449
                     99,                0.69771,                0.36209,                0.81619,                0.93346,                0.70733,                0.80237,                0.63423,                0.60747,                0.37592,                0.81186,               0.008416,               0.008416,               0.008416
                    100,                0.67528,                0.35353,                 0.8216,                0.93378,                0.71099,                0.82201,                0.65962,                0.62425,                0.37158,                0.81959,               0.008383,               0.008383,               0.008383
                    101,                0.68143,                0.35929,                0.81613,                0.95917,                0.70507,                0.81616,                0.64087,                0.60932,                0.34772,                0.81305,                0.00835,                0.00835,                0.00835
                    102,                0.67798,                0.35557,                0.81719,                0.93745,                0.71429,                0.81714,                0.64469,                0.61916,                0.37241,                0.81735,               0.008317,               0.008317,               0.008317
                    103,                 0.6682,                0.35518,                0.81368,                0.94663,                0.70228,                0.81088,                0.63813,                0.61549,                0.36831,                0.81912,               0.008284,               0.008284,               0.008284
                    104,                0.67383,                0.34494,                0.81832,                0.95485,                0.70828,                0.82449,                0.66675,                0.64228,                0.35422,                0.81526,               0.008251,               0.008251,               0.008251
                    105,                0.68111,                0.35099,                 0.8183,                0.93447,                0.70228,                0.80211,                0.64804,                0.62224,                0.34969,                0.81088,               0.008218,               0.008218,               0.008218
                    106,                0.66162,                0.34559,                 0.8126,                0.93968,                0.71064,                  0.816,                0.65392,                0.60449,                0.36487,                0.80902,               0.008185,               0.008185,               0.008185
                    107,                0.66213,                0.34808,                0.82169,                  0.956,                0.70948,                0.80587,                0.63207,                0.62539,                0.37664,                0.81363,               0.008152,               0.008152,               0.008152
                    108,                0.67508,                0.35162,                0.81728,                0.96226,                0.69748,                0.80699,                 0.6439,                 0.6013,                  0.382,                0.81076,               0.008119,               0.008119,               0.008119
                    109,                0.66346,                0.34623,                0.81702,                0.94463,                0.71068,                0.78445,                0.62541,                0.57953,                 0.3633,                0.81169,               0.008086,               0.008086,               0.008086
                    110,                0.65582,                0.34224,                0.81678,                0.94422,                0.70348,                 0.7742,                0.60877,                0.59604,                0.35919,                0.81512,               0.008053,               0.008053,               0.008053
                    111,                0.65221,                0.34297,                0.81558,                0.95409,                0.70828,                0.81235,                 0.6634,                0.58252,                 0.3397,                0.81135,                0.00802,                0.00802,                0.00802
                    112,                0.65844,                0.35603,                0.81726,                0.97666,                0.68788,                0.79193,                0.63426,                0.53729,                0.34523,                0.80301,               0.007987,               0.007987,               0.007987
                    113,                0.65944,                0.34899,                0.81274,                0.94247,                0.70801,                0.79007,                 0.6224,                0.58039,                0.38327,                0.80769,               0.007954,               0.007954,               0.007954
                    114,                0.66056,                0.34578,                0.81807,                0.95492,                0.70468,                0.79869,                0.64113,                0.57804,                0.34581,                0.80946,               0.007921,               0.007921,               0.007921
                    115,                0.65302,                0.34213,                0.80971,                0.95533,                0.70588,                0.81314,                0.66284,                0.56831,                0.34885,                0.81076,               0.007888,               0.007888,               0.007888
                    116,                0.64011,                0.33956,                0.80689,                0.95127,                0.71549,                0.80469,                0.65809,                0.56752,                0.32524,                0.80578,               0.007855,               0.007855,               0.007855
                    117,                0.66795,                0.35176,                0.82655,                0.94553,                0.71429,                0.82843,                0.66685,                0.61052,                  0.329,                0.81372,               0.007822,               0.007822,               0.007822
                    118,                0.68092,                0.35105,                0.82164,                0.95153,                0.71309,                0.83318,                0.67547,                0.58901,                0.33419,                0.81148,               0.007789,               0.007789,               0.007789
                    119,                0.66811,                0.34619,                 0.8157,                0.94592,                0.70588,                0.77576,                  0.626,                0.56336,                0.35588,                0.80556,               0.007756,               0.007756,               0.007756
                    120,                0.66787,                 0.3452,                0.81019,                0.92024,                0.72269,                0.81315,                0.64507,                0.54783,                0.32098,                0.80149,               0.007723,               0.007723,               0.007723
