                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1787,                0.52041,                0.90134,                0.95028,                0.95855,                0.96835,                0.59318,                 1.1852,                0.49778,                0.90731,               0.008845,               0.008845,               0.008845
                     37,                 1.1664,                0.52238,                0.91064,                0.96506,                0.94514,                  0.971,                0.62642,                 1.2407,                0.47222,                0.91648,               0.008812,               0.008812,               0.008812
                     38,                 1.1549,                0.51192,                0.90865,                0.95335,                0.96093,                 0.9752,                0.61719,                 1.2117,                0.48764,                0.90719,               0.008779,               0.008779,               0.008779
                     39,                 1.1759,                0.52057,                0.91578,                0.96069,                0.94828,                0.97122,                0.61647,                 1.2059,                0.47733,                0.91555,               0.008746,               0.008746,               0.008746
                     40,                  1.164,                0.51457,                0.90563,                0.95795,                0.96411,                 0.9797,                 0.6283,                  1.197,                 0.4807,                0.90894,               0.008713,               0.008713,               0.008713
                     41,                 1.1572,                0.51693,                 0.9053,                 0.9586,                0.94351,                0.97145,                0.61951,                 1.2069,                0.47559,                0.90901,                0.00868,                0.00868,                0.00868
                     42,                 1.1568,                0.51428,                0.90627,                0.95968,                 0.9373,                 0.9726,                0.63179,                 1.1427,                0.49312,                0.89999,               0.008647,               0.008647,               0.008647
                     43,                 1.1442,                0.50589,                0.90301,                0.94583,                0.95925,                0.96911,                0.59118,                 1.2335,                0.49818,                  0.913,               0.008614,               0.008614,               0.008614
                     44,                 1.1406,                0.50441,                0.89976,                0.94724,                0.95141,                0.96877,                0.61328,                 1.2251,                0.48129,                0.90868,               0.008581,               0.008581,               0.008581
                     45,                 1.1394,                0.50661,                 0.9019,                0.96029,                0.95768,                 0.9723,                0.62148,                 1.1752,                0.48672,                0.90191,               0.008548,               0.008548,               0.008548
                     46,                 1.1355,                0.50057,                0.88969,                0.95863,                0.95141,                0.96794,                0.60846,                 1.2105,                0.50085,                0.90722,               0.008515,               0.008515,               0.008515
                     47,                 1.1251,                0.49794,                0.90882,                0.95613,                0.95661,                0.97549,                0.62229,                 1.1804,                0.49043,                0.90435,               0.008482,               0.008482,               0.008482
                     48,                 1.1273,                0.49781,                0.89549,                0.95603,                 0.9542,                0.97273,                0.62612,                 1.2169,                 0.4697,                0.91245,               0.008449,               0.008449,               0.008449
                     49,                 1.1334,                0.49963,                0.89989,                0.95082,                0.97335,                0.98018,                0.63988,                 1.1344,                 0.4588,                0.90483,               0.008416,               0.008416,               0.008416
                     50,                 1.1204,                0.49882,                0.89002,                0.94294,                0.97335,                0.97136,                0.62659,                 1.1548,                0.47647,                0.90111,               0.008383,               0.008383,               0.008383
                     51,                 1.1323,                0.49584,                0.89359,                0.95065,                0.96621,                0.97419,                0.62254,                 1.1856,                0.48265,                  0.907,                0.00835,                0.00835,                0.00835
                     52,                 1.1376,                0.49146,                0.89761,                0.95252,                0.97488,                0.97542,                0.61962,                  1.173,                 0.4816,                0.90247,               0.008317,               0.008317,               0.008317
                     53,                 1.1238,                0.48791,                0.90433,                0.96007,                0.95925,                0.97686,                0.62582,                 1.1858,                0.46996,                 0.9098,               0.008284,               0.008284,               0.008284
                     54,                 1.1129,                0.48892,                0.89222,                0.95926,                0.95455,                0.97721,                0.62735,                 1.1544,                0.46486,                0.90297,               0.008251,               0.008251,               0.008251
                     55,                 1.1279,                0.49283,                0.88663,                0.95037,                0.95611,                0.96803,                0.60175,                 1.1651,                0.45894,                0.89131,               0.008218,               0.008218,               0.008218
                     56,                 1.1123,                0.49083,                0.89249,                0.95223,                0.96865,                0.97698,                0.63743,                  1.153,                0.45899,                0.89986,               0.008185,               0.008185,               0.008185
                     57,                 1.1044,                0.48637,                0.88809,                0.94563,                0.96395,                0.96971,                0.61293,                 1.1806,                0.47463,                0.90116,               0.008152,               0.008152,               0.008152
                     58,                 1.1014,                 0.4859,                0.89518,                0.95465,                0.96238,                0.97458,                0.60586,                 1.2245,                0.47065,                0.90419,               0.008119,               0.008119,               0.008119
                     59,                 1.1149,                0.48854,                0.89959,                0.95661,                0.96747,                0.97685,                0.63952,                 1.1527,                0.47514,                 0.9032,               0.008086,               0.008086,               0.008086
                     60,                 1.1193,                0.49356,                0.89149,                0.95229,                0.96984,                0.97246,                0.61193,                 1.1405,                0.52311,                0.89753,               0.008053,               0.008053,               0.008053
                     61,                 1.1191,                0.48894,                0.88901,                 0.9507,                0.96725,                 0.9765,                 0.6387,                 1.2177,                0.47246,                0.90593,                0.00802,                0.00802,                0.00802
                     62,                 1.0879,                0.47752,                0.88056,                0.95531,                0.97179,                0.97472,                0.63126,                 1.1546,                0.46943,                0.89644,               0.007987,               0.007987,               0.007987
                     63,                 1.0922,                0.47942,                0.89202,                0.95487,                0.96552,                0.97359,                0.62679,                 1.1402,                0.46104,                0.89641,               0.007954,               0.007954,               0.007954
                     64,                 1.1014,                0.48154,                0.88657,                0.95068,                0.96678,                0.97146,                0.61907,                 1.1883,                0.46562,                0.90287,               0.007921,               0.007921,               0.007921
                     65,                 1.0986,                 0.4826,                0.88289,                0.95505,                0.97022,                0.97754,                0.63837,                 1.2191,                0.46303,                0.90711,               0.007888,               0.007888,               0.007888
                     66,                  1.099,                0.48042,                0.88627,                 0.9519,                0.97022,                0.97953,                0.60348,                 1.1967,                0.45464,                0.90157,               0.007855,               0.007855,               0.007855
                     67,                 1.0927,                0.48315,                0.89078,                0.94646,                0.97492,                0.97434,                0.62069,                 1.2076,                 0.4689,                0.91107,               0.007822,               0.007822,               0.007822
                     68,                 1.1041,                0.48413,                0.89052,                0.95329,                0.97335,                0.97503,                0.62104,                 1.2314,                0.46151,                0.91013,               0.007789,               0.007789,               0.007789
                     69,                 1.0847,                0.47956,                0.88934,                0.95805,                0.96654,                0.97822,                0.62232,                 1.1722,                0.45179,                0.90442,               0.007756,               0.007756,               0.007756
                     70,                 1.0863,                0.47562,                0.88537,                0.95789,                0.96238,                 0.9739,                0.62693,                 1.1708,                 0.4591,                0.89737,               0.007723,               0.007723,               0.007723
                     71,                 1.0756,                0.46928,                0.89032,                0.95521,                0.96932,                0.97467,                0.63477,                 1.1562,                0.46304,                0.90177,                0.00769,                0.00769,                0.00769
                     72,                 1.0618,                0.46933,                 0.8837,                0.95542,                0.95925,                0.97374,                0.63417,                 1.1586,                0.45764,                0.90401,               0.007657,               0.007657,               0.007657
                     73,                 1.0769,                0.47394,                0.88805,                0.95184,                0.97335,                0.97581,                0.63397,                  1.151,                0.45994,                 0.8987,               0.007624,               0.007624,               0.007624
                     74,                 1.0785,                0.46941,                0.89379,                0.96415,                0.96708,                0.97637,                0.62876,                 1.1657,                0.45682,                0.90097,               0.007591,               0.007591,               0.007591
                     75,                 1.0833,                0.46993,                  0.889,                0.95536,                0.96865,                 0.9757,                0.60391,                 1.1919,                0.46767,                0.91252,               0.007558,               0.007558,               0.007558
                     76,                 1.0829,                0.47645,                0.88548,                0.95934,                0.96161,                0.98017,                0.61922,                 1.1804,                0.45596,                0.90327,               0.007525,               0.007525,               0.007525
                     77,                 1.0743,                0.47126,                 0.8886,                0.95177,                0.97179,                0.97416,                0.63132,                 1.2459,                0.47129,                0.92205,               0.007492,               0.007492,               0.007492
                     78,                 1.0593,                0.46634,                0.88343,                 0.9584,                 0.9751,                0.98203,                0.62878,                 1.1684,                0.44612,                0.90789,               0.007459,               0.007459,               0.007459
                     79,                 1.0745,                0.46885,                0.88564,                0.95403,                0.97597,                0.98176,                 0.6239,                 1.2043,                 0.4537,                0.90835,               0.007426,               0.007426,               0.007426
                     80,                 1.0575,                0.46393,                0.88217,                0.96052,                0.96865,                0.97861,                0.61514,                 1.1946,                 0.4508,                0.90645,               0.007393,               0.007393,               0.007393
                     81,                 1.0617,                0.46724,                0.88041,                0.96408,                0.96395,                 0.9793,                0.61979,                 1.1705,                0.45311,                  0.899,                0.00736,                0.00736,                0.00736
                     82,                 1.0511,                0.46843,                0.88355,                0.95408,                0.96395,                0.97699,                0.62571,                 1.2231,                0.45292,                0.90269,               0.007327,               0.007327,               0.007327
                     83,                 1.0793,                0.46766,                0.87757,                0.96381,                0.96012,                0.97948,                 0.6394,                 1.1462,                0.46081,                0.89608,               0.007294,               0.007294,               0.007294
                     84,                 1.0697,                 0.4621,                 0.8867,                0.95528,                0.97097,                0.97722,                0.63958,                 1.1832,                0.46707,                 0.9037,               0.007261,               0.007261,               0.007261
                     85,                 1.0631,                0.46615,                0.87987,                0.95828,                0.97204,                0.98046,                0.62516,                 1.1756,                0.45422,                0.90865,               0.007228,               0.007228,               0.007228
                     86,                 1.0592,                 0.4645,                0.88899,                0.95809,                0.95611,                0.97683,                 0.6144,                 1.1987,                0.44918,                0.90789,               0.007195,               0.007195,               0.007195
                     87,                 1.0619,                0.46009,                0.87622,                0.96114,                0.96923,                0.97687,                0.62746,                  1.191,                0.46742,                0.90577,               0.007162,               0.007162,               0.007162
                     88,                 1.0448,                 0.4587,                0.88288,                0.96038,                0.96708,                0.97917,                0.63614,                  1.166,                 0.4452,                0.90435,               0.007129,               0.007129,               0.007129
                     89,                 1.0493,                0.45689,                 0.8841,                0.95365,                0.96552,                0.97608,                 0.6297,                 1.2047,                0.44786,                0.90511,               0.007096,               0.007096,               0.007096
                     90,                 1.0563,                0.45739,                 0.8758,                0.96285,                0.97504,                0.98178,                0.64052,                 1.1559,                0.44498,                0.89903,               0.007063,               0.007063,               0.007063
                     91,                 1.0397,                0.45325,                0.88351,                0.96319,                0.96552,                 0.9778,                0.62683,                 1.1897,                0.45492,                0.90544,                0.00703,                0.00703,                0.00703
                     92,                 1.0402,                0.45836,                0.87997,                0.95448,                0.97335,                0.97726,                0.62411,                 1.1852,                 0.4539,                0.90427,               0.006997,               0.006997,               0.006997
                     93,                  1.044,                0.45714,                0.87693,                0.95689,                0.97404,                0.97764,                0.62501,                  1.153,                0.43921,                0.90344,               0.006964,               0.006964,               0.006964
                     94,                 1.0459,                0.45275,                 0.8737,                0.95336,                0.97179,                0.97679,                0.63224,                 1.1773,                0.44168,                0.89978,               0.006931,               0.006931,               0.006931
                     95,                  1.052,                0.45376,                0.88472,                0.95364,                0.97179,                0.97781,                0.62405,                 1.1651,                0.44461,                0.90341,               0.006898,               0.006898,               0.006898
                     96,                 1.0455,                0.45356,                 0.8793,                0.96008,                0.98119,                0.98061,                0.62727,                 1.1504,                0.43285,                0.89708,               0.006865,               0.006865,               0.006865
                     97,                 1.0487,                0.45019,                0.88099,                0.95668,                0.97962,                0.97787,                0.63392,                 1.1809,                0.43247,                0.89929,               0.006832,               0.006832,               0.006832
                     98,                 1.0389,                0.45275,                0.88118,                0.95205,                0.96477,                0.97534,                0.64431,                 1.1508,                0.43728,                0.89674,               0.006799,               0.006799,               0.006799
                     99,                 1.0399,                0.45352,                0.87876,                0.95046,                0.96552,                0.97354,                0.62106,                 1.1524,                0.43904,                0.89364,               0.006766,               0.006766,               0.006766
                    100,                 1.0408,                0.45343,                0.87988,                0.95114,                0.97492,                0.97964,                 0.6201,                 1.1773,                0.43735,                0.89942,               0.006733,               0.006733,               0.006733
                    101,                 1.0182,                0.44876,                0.86804,                 0.9577,                0.97492,                0.97924,                0.60864,                 1.2232,                0.45104,                0.90617,                 0.0067,                 0.0067,                 0.0067
                    102,                 1.0309,                0.44929,                0.88401,                0.95542,                 0.9741,                0.97697,                0.62918,                 1.1807,                0.44065,                0.90237,               0.006667,               0.006667,               0.006667
                    103,                 1.0235,                0.44296,                0.87362,                0.96171,                0.97022,                0.98044,                0.65514,                  1.112,                0.44181,                 0.8983,               0.006634,               0.006634,               0.006634
                    104,                 1.0253,                0.44189,                0.87033,                0.95996,                0.96865,                0.97747,                0.63792,                 1.1758,                0.44001,                0.89995,               0.006601,               0.006601,               0.006601
                    105,                 1.0305,                0.44567,                0.87686,                 0.9582,                0.97019,                 0.9763,                0.62575,                 1.2005,                0.44065,                0.91171,               0.006568,               0.006568,               0.006568
                    106,                 1.0251,                0.44832,                0.87645,                0.96287,                0.96708,                0.98093,                0.63602,                 1.1571,                0.42811,                0.89686,               0.006535,               0.006535,               0.006535
                    107,                 1.0161,                0.44506,                0.86933,                0.95961,                0.96818,                0.97551,                0.62521,                 1.1818,                0.44146,                0.89983,               0.006502,               0.006502,               0.006502
                    108,                 1.0198,                0.44424,                0.87248,                0.96114,                0.96918,                0.97822,                0.63829,                 1.1591,                0.42756,                0.89855,               0.006469,               0.006469,               0.006469
                    109,                 1.0092,                0.43677,                0.87398,                0.96181,                0.96865,                0.97745,                0.63859,                 1.1729,                0.43402,                0.90362,               0.006436,               0.006436,               0.006436
                    110,                 1.0226,                0.44235,                0.87559,                0.95989,                0.97517,                0.97999,                0.62656,                 1.2002,                0.43531,                0.91224,               0.006403,               0.006403,               0.006403
                    111,                 1.0175,                0.44022,                0.88099,                0.96073,                0.96708,                0.97567,                0.62821,                 1.1234,                0.42218,                0.90013,                0.00637,                0.00637,                0.00637
                    112,                   1.02,                0.44179,                0.87149,                0.95566,                0.96238,                0.97589,                0.63687,                 1.1505,                0.41741,                0.89826,               0.006337,               0.006337,               0.006337
                    113,                 1.0267,                0.43962,                0.88131,                0.95279,                0.96708,                0.97867,                0.63683,                  1.154,                 0.4279,                0.89878,               0.006304,               0.006304,               0.006304
                    114,                0.99454,                0.43243,                 0.8705,                0.95071,                 0.9675,                0.97543,                0.62666,                 1.1735,                0.43295,                0.89916,               0.006271,               0.006271,               0.006271
                    115,                 1.0222,                 0.4356,                0.87418,                0.96136,                0.97488,                0.97778,                 0.6284,                 1.1237,                0.42582,                0.89179,               0.006238,               0.006238,               0.006238
                    116,                 1.0138,                0.44037,                 0.8713,                0.95661,                0.96757,                0.97918,                0.64228,                 1.1387,                 0.4262,                0.89832,               0.006205,               0.006205,               0.006205
                    117,                 1.0071,                0.44383,                0.87254,                0.96177,                0.97022,                0.98021,                0.63581,                 1.1964,                0.44345,                0.90779,               0.006172,               0.006172,               0.006172
                    118,                 1.0101,                0.44363,                0.87411,                0.96268,                0.97024,                0.97206,                0.59239,                 1.2371,                0.47285,                0.91274,               0.006139,               0.006139,               0.006139
                    119,                 1.0086,                0.43833,                0.86373,                0.95402,                0.97574,                0.98232,                0.63037,                 1.2216,                 0.4304,                  0.903,               0.006106,               0.006106,               0.006106
                    120,                  1.011,                0.43762,                0.87521,                 0.9585,                0.97649,                0.98121,                0.63715,                 1.1781,                 0.4355,                0.90422,               0.006073,               0.006073,               0.006073
                    121,                0.99999,                0.43145,                0.86923,                0.95986,                0.97446,                0.98103,                 0.6387,                 1.1626,                0.43866,                0.89915,                0.00604,                0.00604,                0.00604
                    122,                0.98088,                0.43048,                0.87112,                0.95768,                0.97179,                0.97887,                0.62395,                 1.1497,                0.42435,                0.90278,               0.006007,               0.006007,               0.006007
                    123,                0.99552,                 0.4353,                0.87094,                0.96428,                0.97307,                0.97695,                0.64625,                  1.134,                0.41835,                0.90062,               0.005974,               0.005974,               0.005974
                    124,                  1.011,                0.43846,                0.86721,                0.95309,                0.96865,                  0.979,                0.62959,                 1.1764,                0.43196,                0.90668,               0.005941,               0.005941,               0.005941
                    125,                0.99954,                0.43547,                0.86812,                0.95857,                0.97179,                0.97861,                0.63181,                 1.1747,                0.44073,                0.90963,               0.005908,               0.005908,               0.005908
                    126,                0.99941,                0.43574,                0.86499,                0.96423,                0.97186,                0.97903,                0.63287,                 1.2037,                0.44464,                0.90359,               0.005875,               0.005875,               0.005875
                    127,                0.98528,                0.43309,                0.86137,                0.95846,                0.97654,                0.97792,                0.63177,                 1.2088,                0.42876,                0.90922,               0.005842,               0.005842,               0.005842
                    128,                0.99813,                 0.4331,                 0.8652,                0.95564,                0.97492,                0.97844,                0.63381,                  1.171,                0.42535,                 0.8969,               0.005809,               0.005809,               0.005809
                    129,                0.97616,                0.42484,                0.86239,                0.95516,                0.96816,                0.97743,                0.63105,                 1.1893,                0.42857,                0.90529,               0.005776,               0.005776,               0.005776
                    130,                0.99721,                0.43306,                 0.8695,                0.96112,                0.97335,                0.97964,                0.63419,                 1.2076,                0.43077,                0.90912,               0.005743,               0.005743,               0.005743
                    131,                 0.9773,                0.42395,                0.86504,                0.96235,                0.97179,                0.97989,                0.63628,                 1.1859,                0.42928,                0.90639,                0.00571,                0.00571,                0.00571
                    132,                0.98781,                0.42731,                0.86197,                0.95385,                0.97179,                0.97889,                0.64033,                 1.1722,                0.43216,                0.90248,               0.005677,               0.005677,               0.005677
                    133,                 0.9808,                0.42352,                0.85858,                0.96297,                0.97826,                0.98268,                0.63741,                 1.1692,                0.43146,                0.90308,               0.005644,               0.005644,               0.005644
                    134,                0.97114,                0.41685,                0.86808,                0.95975,                0.97806,                0.98287,                0.63573,                 1.1918,                0.43672,                0.90427,               0.005611,               0.005611,               0.005611
                    135,                0.96593,                0.42044,                 0.8641,                0.96283,                0.97455,                0.97949,                0.64135,                 1.1598,                0.43138,                0.89755,               0.005578,               0.005578,               0.005578
                    136,                0.98383,                 0.4249,                0.86579,                0.95124,                0.97839,                0.98034,                 0.6453,                 1.1861,                0.44219,                0.90692,               0.005545,               0.005545,               0.005545
                    137,                0.98779,                0.42447,                0.86072,                0.95692,                0.97491,                0.97895,                0.64245,                 1.1479,                0.42107,                0.90043,               0.005512,               0.005512,               0.005512
                    138,                0.98376,                 0.4261,                0.86655,                0.96392,                0.96326,                0.97806,                0.62149,                 1.1953,                0.43254,                0.90182,               0.005479,               0.005479,               0.005479
                    139,                0.97029,                0.41854,                0.85735,                0.96276,                0.97247,                0.97696,                0.64089,                 1.1608,                 0.4269,                 0.9039,               0.005446,               0.005446,               0.005446
                    140,                0.97041,                0.42336,                0.86465,                0.95062,                0.96567,                0.97491,                0.64253,                 1.1496,                0.42565,                0.89813,               0.005413,               0.005413,               0.005413
                    141,                0.97745,                0.42542,                0.86185,                0.96136,                0.97487,                0.97866,                 0.6324,                 1.1765,                0.43389,                0.90003,                0.00538,                0.00538,                0.00538
                    142,                0.98392,                0.42606,                0.86233,                0.95674,                0.98276,                0.98026,                 0.6277,                 1.1981,                0.43636,                0.90554,               0.005347,               0.005347,               0.005347
                    143,                0.96455,                0.42273,                0.86315,                0.95812,                0.97649,                 0.9789,                0.63513,                 1.2232,                0.43089,                0.90641,               0.005314,               0.005314,               0.005314
                    144,                0.94589,                0.41867,                0.85514,                0.95847,                0.97663,                0.97984,                0.63561,                 1.1998,                0.43438,                0.90562,               0.005281,               0.005281,               0.005281
                    145,                0.95018,                0.41211,                0.85423,                0.96579,                0.97344,                0.98051,                0.63858,                 1.1917,                0.43325,                0.90511,               0.005248,               0.005248,               0.005248
                    146,                0.95188,                0.41203,                0.85682,                0.96107,                0.97179,                0.97963,                0.63558,                 1.1752,                0.41742,                0.90168,               0.005215,               0.005215,               0.005215
                    147,                0.96893,                0.41993,                0.85738,                0.95972,                0.97492,                0.97847,                0.64417,                 1.1648,                0.41407,                0.90021,               0.005182,               0.005182,               0.005182
                    148,                0.95292,                0.41712,                0.86064,                0.97048,                0.96865,                0.98084,                0.64108,                 1.1458,                0.40787,                0.89647,               0.005149,               0.005149,               0.005149
                    149,                0.96145,                0.41571,                 0.8606,                0.96174,                0.97492,                 0.9816,                 0.6391,                 1.1676,                0.42575,                0.89823,               0.005116,               0.005116,               0.005116
                    150,                0.95158,                0.41343,                0.86028,                0.96287,                0.96708,                0.97745,                0.64006,                 1.1684,                 0.4196,                0.89992,               0.005083,               0.005083,               0.005083
                    151,                0.95159,                0.41414,                0.86247,                0.96481,                0.96708,                0.97729,                0.63426,                 1.1609,                0.42817,                0.90302,                0.00505,                0.00505,                0.00505
                    152,                 0.9465,                0.40839,                0.85678,                0.95577,                0.97179,                0.97802,                 0.6424,                 1.1638,                0.42283,                0.89652,               0.005017,               0.005017,               0.005017
                    153,                0.95124,                0.41456,                0.85108,                 0.9583,                0.97244,                0.97581,                0.63124,                 1.1659,                0.42244,                0.89756,               0.004984,               0.004984,               0.004984
