                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.86312,                0.47023,                0.85115,                0.89629,                0.66708,                 0.7696,                0.58829,                0.71718,                0.47951,                0.84782,               0.008845,               0.008845,               0.008845
                     37,                0.87314,                0.46582,                0.84604,                 0.8934,                0.68961,                0.74606,                0.55987,                0.69687,                0.45123,                0.83835,               0.008812,               0.008812,               0.008812
                     38,                0.86386,                0.46827,                0.84712,                0.91014,                0.71214,                0.79527,                0.60737,                0.69877,                0.45425,                0.83688,               0.008779,               0.008779,               0.008779
                     39,                0.88236,                 0.4852,                0.85521,                0.90468,                0.68586,                0.78534,                0.58758,                0.72131,                0.46276,                0.83174,               0.008746,               0.008746,               0.008746
                     40,                0.86202,                0.46983,                0.84712,                0.89704,                0.68698,                0.73593,                0.55898,                0.68591,                0.46606,                0.83261,               0.008713,               0.008713,               0.008713
                     41,                0.84238,                0.45554,                0.84006,                0.88298,                0.70338,                0.75817,                0.57062,                0.69976,                0.42894,                 0.8361,                0.00868,                0.00868,                0.00868
                     42,                0.85764,                0.45201,                0.84106,                 0.9082,                0.68098,                0.76884,                0.58454,                0.68705,                0.45455,                0.83449,               0.008647,               0.008647,               0.008647
                     43,                0.86753,                0.46166,                0.84739,                0.90587,                0.69859,                 0.7883,                0.59415,                0.70828,                0.46858,                0.84429,               0.008614,               0.008614,               0.008614
                     44,                0.80791,                0.44428,                0.84317,                0.94229,                0.67835,                0.76328,                0.56915,                0.68394,                0.43551,                 0.8368,               0.008581,               0.008581,               0.008581
                     45,                0.81991,                0.44695,                0.83922,                0.92125,                0.71746,                0.77656,                0.58272,                0.66474,                0.43232,                0.83413,               0.008548,               0.008548,               0.008548
                     46,                0.82892,                0.44665,                0.84904,                0.94787,                0.66583,                 0.7517,                0.57433,                0.68047,                0.43356,                0.82869,               0.008515,               0.008515,               0.008515
                     47,                0.83816,                 0.4541,                0.84106,                0.90739,                0.68961,                0.75275,                 0.5663,                0.66088,                0.42069,                0.82579,               0.008482,               0.008482,               0.008482
                     48,                 0.8209,                0.44815,                0.84082,                0.92913,                0.70559,                0.76221,                0.56988,                0.67364,                0.45796,                0.83427,               0.008449,               0.008449,               0.008449
                     49,                0.83675,                0.45149,                0.84373,                0.93377,                0.70088,                0.78419,                0.58471,                0.69381,                0.43054,                0.83405,               0.008416,               0.008416,               0.008416
                     50,                0.80075,                 0.4355,                0.82748,                0.90931,                0.70274,                0.77907,                0.58889,                0.67918,                0.42791,                0.82749,               0.008383,               0.008383,               0.008383
                     51,                0.83305,                0.43772,                0.84658,                0.92296,                0.70475,                0.80238,                0.61677,                0.65139,                0.40121,                0.83298,                0.00835,                0.00835,                0.00835
                     52,                0.82036,                0.43197,                0.83541,                 0.9319,                0.70224,                0.76066,                0.57394,                0.69663,                0.42234,                0.83103,               0.008317,               0.008317,               0.008317
                     53,                0.82231,                0.44081,                  0.842,                0.91374,                0.69462,                 0.7814,                0.58729,                0.65787,                0.42689,                0.83145,               0.008284,               0.008284,               0.008284
                     54,                0.82322,                0.43529,                0.84394,                 0.9364,                0.70024,                0.78575,                0.60435,                0.62618,                0.42571,                0.82109,               0.008251,               0.008251,               0.008251
                     55,                0.80729,                0.42543,                0.83184,                0.96435,                0.67716,                0.78142,                0.59822,                0.63573,                0.44121,                0.82604,               0.008218,               0.008218,               0.008218
                     56,                0.78115,                 0.4259,                0.83104,                0.92222,                0.68262,                0.75483,                0.56783,                0.67235,                0.42794,                0.82735,               0.008185,               0.008185,               0.008185
                     57,                0.78812,                0.42472,                0.83353,                0.92161,                0.68586,                0.76279,                0.58449,                0.64769,                0.43613,                0.82395,               0.008152,               0.008152,               0.008152
                     58,                0.81751,                0.43536,                0.83921,                 0.9159,                0.69962,                0.77498,                0.58739,                0.64592,                0.44809,                0.82768,               0.008119,               0.008119,               0.008119
                     59,                0.79978,                0.42186,                0.83828,                0.91226,                0.71567,                0.80158,                0.61083,                0.64109,                 0.4173,                 0.8267,               0.008086,               0.008086,               0.008086
